year,pr,incidents
2021,"1 North West Metro",5418
2021,"1 North West Metro",12682
2021,"1 North West Metro",9563
2021,"1 North West Metro",4567
2021,"1 North West Metro",12588
2021,"1 North West Metro",7001
2021,"1 North West Metro",24648
2021,"1 North West Metro",8987
2021,"1 North West Metro",6083
2021,"1 North West Metro",9337
2021,"1 North West Metro",1377
2021,"1 North West Metro",9384
2021,"1 North West Metro",12168
2021,"1 North West Metro",9273
2021,"1 North West Metro",133076
2021,"2 Eastern",386
2021,"2 Eastern",2149
2021,"2 Eastern",3109
2021,"2 Eastern",1003
2021,"2 Eastern",5540
2021,"2 Eastern",3606
2021,"2 Eastern",5915
2021,"2 Eastern",408
2021,"2 Eastern",7081
2021,"2 Eastern",7999
2021,"2 Eastern",3000
2021,"2 Eastern",365
2021,"2 Eastern",5319
2021,"2 Eastern",2492
2021,"2 Eastern",1682
2021,"2 Eastern",8552
2021,"2 Eastern",558
2021,"2 Eastern",1187
2021,"2 Eastern",463
2021,"2 Eastern",161
2021,"2 Eastern",1681
2021,"2 Eastern",2954
2021,"2 Eastern",5696
2021,"2 Eastern",2474
2021,"2 Eastern",5144
2021,"2 Eastern",78924
2021,"3 Southern Metro",3347
2021,"3 Southern Metro",4787
2021,"3 Southern Metro",14294
2021,"3 Southern Metro",8358
2021,"3 Southern Metro",5274
2021,"3 Southern Metro",11671
2021,"3 Southern Metro",6778
2021,"3 Southern Metro",6445
2021,"3 Southern Metro",9461
2021,"3 Southern Metro",8073
2021,"3 Southern Metro",78488
2021,"4 Western",1012
2021,"4 Western",7554
2021,"4 Western",195
2021,"4 Western",2451
2021,"4 Western",799
2021,"4 Western",1184
2021,"4 Western",599
2021,"4 Western",553
2021,"4 Western",1207
2021,"4 Western",442
2021,"4 Western",7734
2021,"4 Western",14767
2021,"4 Western",439
2021,"4 Western",312
2021,"4 Western",1566
2021,"4 Western",409
2021,"4 Western",1478
2021,"4 Western",4751
2021,"4 Western",1617
2021,"4 Western",732
2021,"4 Western",531
2021,"4 Western",837
2021,"4 Western",329
2021,"4 Western",74
2021,"4 Western",758
2021,"4 Western",1079
2021,"4 Western",1740
2021,"4 Western",2272
2021,"4 Western",163
2021,"4 Western",287
2021,"4 Western",57871
2021,"Justice Institutions and Immigration Facilities",967
2021,"Justice Institutions and Immigration Facilities",967
2021,"Unincorporated Vic",66
